id	mask_not_process	title	unit	req_amount	globus_method	globus_url	keyword	perekrestok_method	perekrestok_url	okey_method	okey_url	ashan_method	ashan_url	utkonos_method	utkonos_url	keywords_cons	keywords_pro	mask_checked	fatcontent	gks_method
1	2	Говядина (кроме бескостного мяса)	кг	15	byurls	https://online.globus.ru/search/?section_id=638&q=%D0%B3%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	говядина	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1385&text=%D0%B3%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0	byurls	 https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=69069&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-700000000000000965910431086107411031076108010851072&facet=ads_f16002_ntk_cs%3A%22%D0%93%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0%22	skip		byurls	https://www.utkonos.ru/cat/8	фарш|\bбез\s+кости|\bбескостн|\bнарез|\bфиле|\bазу\b|\bгуляш|\bдля\s+плова|\bбекон|\bмедальоны|\bколбас|\bсосиск|\bсардельк|\bмякоть|\bбургер|\bкупаты|\bэскалоп|\bшашлык|\bфрикадельк|\bб\s*/\s*к|\bмякоть	\bгрудинк|\bлопатк|\bна\s*кост(?:и|очке)|\bр[её]бр|\bтазоб[её]др|\bс\s+костью|\bкорейка|\bокорок|\bседло|\b[сн]\s*/\s*к|\bголяшк|\bше[яй]			skip
2	2	Свинина (кроме бескостного мяса)	кг	4	byurls	https://online.globus.ru/search/?section_id=638&q=%D1%81%D0%B2%D0%B8%D0%BD%D0%B8%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_982_4092328740=Y&set_filter=Y&count=64	свинина	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1394&text=%D1%81%D0%B2%D0%B8%D0%BD%D0%B8%D0%BD%D0%B0	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=69069&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-70000000000000096591057107410801085108010851072&facet=ads_f16002_ntk_cs%3A%22%D0%A1%D0%B2%D0%B8%D0%BD%D0%B8%D0%BD%D0%B0%22	skip		byurls	https://www.utkonos.ru/cat/2293	фарш|\bбез\s+кости|\bбескостн|\bнарез|\bфиле|\bазу\b|\bгуляш|\bдля\s+плова|\bбекон|\bмедальоны|\bколбас|\bсосиск|\bсардельк|\bмякоть|\bбургер|\bкупаты|\bэскалоп|\bшашлык|\bфрикадельк|\bб\s*/\s*к|\bмякоть	\bгрудинк|\bлопатк|\bна\s*кост(?:и|очке)|\bр[её]бр|\bтазоб[её]др|\bс\s+костью|\bкорейка|\bокорок|\bседло|\b[сн]\s*/\s*к|\bголяшк|\bше[яй]			skip
3	2	Баранина (кроме бескостного мяса)	кг	1.8	byurls	https://online.globus.ru/search/?section_id=638&q=%D0%B1%D0%B0%D1%80%D0%B0%D0%BD%D0%B8%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	баранина	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1384&text=%D0%B1%D0%B0%D1%80%D0%B0%D0%BD%D0%B8%D0%BD%D0%B0	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=69069&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713	skip		byurls	https://www.utkonos.ru/cat/2294	фарш|\bбез\s+кости|\bбескостн|\bнарез|\bфиле|\bазу\b|\bгуляш|\bдля\s+плова|\bбекон|\bмедальоны|\bколбас|\bсосиск|\bсардельк|\bмякоть|\bбургер|\bкупаты|\bэскалоп|\bшашлык|\bфрикадельк|\bб\s*/\s*к|\bмякоть	\bбара[нш];\bгрудинк|\bлопатк|\bна\s*кост(?:и|очке)|\bр[её]бр|\bтазоб[её]др|\bс\s+костью|\bкорейка|\bокорок|\bседло|\b[сн]\s*/\s*к|\bголяшк|\bше[яй]			skip
4	2	Куры охлажденные и мороженые	кг	14	byurls	https://online.globus.ru/search/?section_id=655&q=%D0%BA%D1%83%D1%80%D0%B8%D1%86%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	курица	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1392&text=%D0%BA%D1%83%D1%80%D0%B8%D1%86%D0%B0	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=69069&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-7000000000000009659105010911088108010941072&facet=ads_f16002_ntk_cs%3A%22%D0%9A%D1%83%D1%80%D0%B8%D1%86%D0%B0%22	skip		byurls	https://www.utkonos.ru/cat/9	\bбедр[оаы]|\bголен|\bкрылышк|\bкрылья|\bкрыло|\bфиле|\bгрудка|\bокорочок|\bкотлет|\bколбас|\bсосиск|\bчевапчич|\bнабор|\bсердц|\bжелудо?к|\bкупат|\bстейк|\bшашлык|\bбургер|\bшарик|\bиндейк|\bшницел|\bмедальон|\bполуфабрик|\bазу|\bпечень|\bкорнишон|\bассорти|\bокорок				skip
5	2	Рыба мороженая неразделанная	кг	14	byurls	https://online.globus.ru/search/?section_id=659&q=%D1%80%D1%8B%D0%B1%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 	рыба	byurls	https://www.perekrestok.ru/catalog/search?text=%D1%80%D1%8B%D0%B1%D0%B0%20%D0%B7%D0%B0%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%B0%D1%8F https://www.perekrestok.ru/catalog/search?text=%D1%80%D1%8B%D0%B1%D0%B0%20%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%B0%D1%8F	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16583&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-700000000000002465110581091109610821072321085107710871086109010881086109610771085108510721103,-7000000000000009658104710721084108610881086107810771085108510721103&facet=ads_f20505_ntk_cs%3A%22%D0%A2%D1%83%D1%88%D0%BA%D0%B0+%D0%BD%D0%B5%D0%BF%D0%BE%D1%82%D1%80%D0%BE%D1%88%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F%22,ads_f16001_ntk_cs%3A%22%D0%97%D0%B0%D0%BC%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F%22&ffcId=13151&catalogId=12051	skip		byurls	https://www.utkonos.ru/cat/4190-707-456172	\bохл\.?\b|\bохлажд|\bфиле|\bбез\s+головы|\bбез\s+кожи|\bб\s*/\s*г|\bкреветк|\bмиди|\bкальмар|\bварено|\bпотр				skip
6	2	Сельдь соленая	кг	0.7	byurls	https://online.globus.ru/search/?section_id=670&q=%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_848_25111632=Y&searchFilter_880_1706429935=Y&set_filter=Y&count=64	сельдь	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1411&text=%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=%5BLjava.lang.String%3B%4035e335e3&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=2&catalogId=12051&searchTerm=%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C&resultsPerPage=72&emsName=&facet=&categoryId=16572&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259723&facetId=-700000000000002465110551088107710891077108810741099,-7000000000000009659105710771083110010761100&facet=ads_f20505_ntk_cs%3A%22%D0%9F%D1%80%D0%B5%D1%81%D0%B5%D1%80%D0%B2%D1%8B%22,ads_f16002_ntk_cs%3A%22%D0%A1%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C%22 https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=%5BLjava.lang.String%3B%4073b873b8&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=2&catalogId=12051&searchTerm=%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C&resultsPerPage=72&emsName=&facet=&categoryId=16586&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259723&facetId=-70000000000000091511057108610831077108510721103&facet=ads_f16004_ntk_cs%3A%22%D0%A1%D0%BE%D0%BB%D0%B5%D0%BD%D0%B0%D1%8F%22	skip		byurls	https://www.utkonos.ru/cat/79-127-731	\bфоршмак				skip
7	2	Масло сливочное	кг	1.8	byurls	https://online.globus.ru/search/?section_id=621&q=%D0%A1%D0%BB%D0%B8%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B5+%D0%BC%D0%B0%D1%81%D0%BB%D0%BE&count=64	масло сливочное	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1379&text=%D0%BC%D0%B0%D1%81%D0%BB%D0%BE	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=%5BLjava.lang.String%3B%4012611261&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=2&catalogId=12051&searchTerm=%D0%BC%D0%B0%D1%81%D0%BB%D0%BE+%D1%81%D0%BB%D0%B8%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B5&resultsPerPage=72&emsName=&categoryId=16101&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259723&facetId=-70000000000000246511052107210891083108632108910831080107410861095108510861077&facet=ads_f20505_ntk_cs%3A%22%D0%9C%D0%B0%D1%81%D0%BB%D0%BE+%D1%81%D0%BB%D0%B8%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B5%22	skip		byurls	https://www.utkonos.ru/cat/15-1272-685183	маргарин|спред;\bчесночн;\bшоколад;\bсоленое|\bтопл[её]ное				skip
8	2	Масло подсолнечное	л	7	byurls	https://online.globus.ru/search/?section_id=729&q=%D0%A0%D0%B0%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5%20%D0%BC%D0%B0%D1%81%D0%BB%D0%BE&searchFilter_1060_3481289395=Y&set_filter=Y&count=64	масло подсолнечное	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1363&text=%D0%BC%D0%B0%D1%81%D0%BB%D0%BE	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=%5BLjava.lang.String%3B%404d3b4d3b&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=2&catalogId=12051&searchTerm=%D0%BC%D0%B0%D1%81%D0%BB%D0%BE+%D0%BF%D0%BE%D0%B4%D1%81%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE%D0%B5&resultsPerPage=72&emsName=&facet=&categoryId=16609&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259723&facetId=-7000000000000024651105510861076108910861083108510771095108510861077&facet=ads_f20505_ntk_cs%3A%22%D0%9F%D0%BE%D0%B4%D1%81%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE%D0%B5%22	byurls	https://www.auchan.ru/pokupki/eda/masla-sousy-zapravki/masla-rastitelnye/podsolnechnoe-maslo.html?limit=96	byurls	https://www.utkonos.ru/cat/43-1411-687607	\bтопл[её]ное|\bкукурузн|\bоливк|\bльнян|\bкокосов|\bгорчичн|\bвиноградн|\bкунжутн|\bсоевое;салатн(?:\.?|ая)?\s*заправка;грецкого\s*ореха				skip
9	2	Маргарин	кг	6	byurls	https://online.globus.ru/search/?q=%D0%BC%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%BD&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	маргарин	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1379&text=%D0%BC%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%BD	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16113&storeId=10151&disableProductCompare=false&ddkey=ProductListingView_4_3074457345618263654_3074457345618295928&facetId=-700000000000002465110521072108810751072108810801085&facet=ads_f20505_ntk_cs%3A%22%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%BD%22	skip		byurls	https://www.utkonos.ru/cat/15-1272-685186	\bмасло\b|\bспред|\bтопл[её]н				skip
10	2	Молоко питьевое цельное пастеризованное 2,5-3,2% жирности	л	110	byurls	https://online.globus.ru/search/?section_id=607&q=%D0%BC%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE&searchFilter_570_1566062185=Y&searchFilter_1414_1964963658=Y&searchFilter_1414_35243996=Y&searchFilter_1414_2601555558=Y&set_filter=Y?&count=64	молоко	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1377&text=%D0%BC%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductListingView?lm=&searchType=1000&filterTerm=&langId=-20&advancedSearch=&sType=SimpleSearch&gridPosition=&metaData=&manufacturer=&custom_view=true&ajaxStoreImageDir=%2Fwcsstore%2FOKMarketSAS%2F&resultCatEntryType=&catalogId=12051&searchTerm=&resultsPerPage=72&emsName=&facet=&categoryId=16110&storeId=10151&disableProductCompare=true&ddkey=ProductListingView_6_-1011_3074457345618259713&facetId=-7000000000000024651105210861083108610821086321082108610881086107411001077&facet=ads_f20505_ntk_cs%3A%22%D0%9C%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE+%D0%BA%D0%BE%D1%80%D0%BE%D0%B2%D1%8C%D0%B5%22	skip		byurls	https://www.utkonos.ru/cat/11-5-5	\bкозье;\bкоз\.?\b;\bтопл\.?\b;топленое|топлёное|ультрапастеризованное;\bультрапаст\.?\b;\bутп\.?\b;коктейль;стерилизованное;\bстерил\.?\b	пастеризованное|пастер	1	2.5 3.2	skip
